cuts,tree_count,n_plans,probability
28,73446750000,420,2.080768776861115
29,250665840000,5408,7.101439523160167
30,528671139300,43468,14.977414247506298
31,698394196800,219704,19.785720112087148
32,732191421608,884620,20.74320577517016
33,577889926624,2686928,16.371797469347246
34,366428925818,6578950,10.38104297032683
35,186993438208,12985744,5.297581005301319
36,78541020648,21167576,2.2250910144718796
37,26977180928,28289752,0.7642717446682877
38,7588753206,31084950,0.21499168753347814
39,1684381728,27036848,0.047719046900479206
40,282316256,17848860,0.007998105439452794
41,31884256,7971064,0.0009032906746485946
42,1949522,1949522,5.523055148667347e-05